time_s,ego_x_m,ego_y_m,ego_heading_rad,ego_speed_mps,ego_accel_mps2,dust_level,occlusion_rate
13.5,15.3018090582219,48.01468428384716,-0.25830665564654165,1.1437095632725287,-0.0005358857837431,0.15,0.1
14.0,15.853927075938108,47.86597487660337,-0.2678929463855323,1.1434367599897408,-0.0005553043798058,0.15,0.1
14.5,16.404460313972947,47.71201642581385,-0.27748135036298793,1.1431542588927228,-0.0005746762086258,0.15,0.1
15.0,16.953353892370078,47.55282581475768,-0.287071942921107,1.142862083781115,-0.0005939996064603,0.15,0.1
15.5,17.50055311098029,47.38842050047929,-0.2966647993859955,1.1425602592862625,-0.0006132729102525,0.15,0.1
16.0,18.046003455460045,47.218818511874055,-0.3062599950666904,1.1422488108708624,-0.0006324944577511,0.15,0.1
16.5,18.58965060324955,47.04403844771127,-0.31585760525416107,1.141927764828511,-0.000651662587459,0.15,0.1
17.0,19.131440429529825,46.864099474594575,-0.32545770522027595,1.1415971482834033,-0.0006707756386494,0.15,0.1
17.5,19.67131901315817,46.67902132486009,-0.33506037021669766,1.1412569891898618,-0.0006898319515546,0.15,0.1
18.0,20.209232642581146,46.48882429441256,-0.34466567547371507,1.1409073163318486,-0.0007088298672333,0.15,0.1
18.5,20.74512782172469,46.29352924049974,-0.35427369619911414,1.1405481593226283,-0.0007277677276225,0.15,0.1
19.0,21.27895127586057,46.09315757942503,-0.363884507576943,1.140179548604226,-0.0007466438757053,0.15,0.1
19.5,21.810649957448543,45.88773128419905,-0.373498184766109,1.1398015154469232,-0.0007654566554198,0.15,0.1
20.0,22.34017105195361,45.67727288213004,-0.3831148028991752,1.1394140919488065,-0.0007842044117025,0.15,0.1
20.5,22.86746198363775,45.461805452353424,-0.3927344370809439,1.1390173110352206,-0.0008028854906176,0.15,0.1
21.0,23.39247042132542,45.24135262330097,-0.402357162386933,1.1386112064581886,-0.0008214982393308,0.15,0.1
21.5,23.91514428414225,45.01593857010967,-0.4119830538619373,1.1381958127958898,-0.0008400410061084,0.15,0.1
22.0,24.43543174722634,44.78558801197063,-0.42161218651843224,1.13777116545208,-0.0008585121404474,0.15,0.1
22.5,24.953281247411397,44.55032620941839,-0.43124463533498325,1.1373373006554424,-0.0008769099930781,0.15,0.1
23.0,25.46864148888123,44.31017896156073,-0.440880475254535,1.136894255459002,-0.0008952329160156,0.15,0.1
23.5,25.98146144879493,44.0651726032496,-0.45051978118262387,1.136442067739427,-0.0009134792626022,0.15,0.1
24.0,26.49169038288209,43.815334002193175,-0.4601626279856607,1.1359807761963998,-0.0009316473874876,0.15,0.1
24.5,26.99927783100745,43.56069055600947,-0.4698090904889824,1.135510420351939,-0.0009497356468022,0.15,0.1
25.0,27.504173622704503,43.30127018922192,-0.4794592434748569,1.1350310405495976,-0.0009677423981493,0.15,0.1
25.5,28.00632788267716,43.037101350197176,-0.48911316168059554,1.1345426779537895,-0.0009856660005604,0.15,0.1
26.0,28.50569103626919,42.76821300802533,-0.4987709197963775,1.134045374549037,-0.0010035048147065,0.15,0.1
26.5,29.002213814900653,42.49463464934319,-0.5084325924630534,1.1335391731390831,-0.0010212572028669,0.15,0.1
27.0,29.495847261470693,42.21639627510076,-0.5180982542700233,1.13302411734617,-0.0010389215289206,0.15,0.1
