time_s,pose_x_m_est,pose_y_m_est,method
105.5,48.89805894692966,-30.301533194759468,proposed
106.0,48.64237368915223,-30.50250894693612,proposed
106.5,48.38200901068512,-31.07926424202305,proposed
107.0,48.08555945987023,-31.54970297396325,proposed
107.5,47.640497970797355,-31.942681464496427,proposed
108.0,47.312221375789875,-32.33016907454489,proposed
108.5,47.219622271266594,-32.7438809950584,proposed
109.0,47.03689978879666,-33.16067973796078,proposed
109.5,46.78505591783186,-33.540649019713,proposed
110.0,46.49788038061663,-33.93619199693335,proposed
110.5,46.26455412296569,-34.29067240583891,proposed
111.0,45.96187791947594,-34.627878277921596,proposed
111.5,45.655855787320306,-34.9511221845931,proposed
112.0,45.28185514513344,-35.22087019998833,proposed
112.5,44.97013959567801,-35.646966583496166,proposed
113.0,44.68279874344056,-35.949979749073556,proposed
113.5,44.30480813470814,-36.33547318204345,proposed
114.0,44.02289303644687,-36.66625953863774,proposed
114.5,43.666021236400084,-37.03286171544074,proposed
115.0,43.26579240191999,-37.431564997893105,proposed
115.5,42.84123762937923,-37.79487323519366,proposed
116.0,42.52813560291704,-38.15004060157277,proposed
116.5,42.23295944755823,-38.51961217453478,proposed
117.0,41.806625937199854,-38.79683087634806,proposed
117.5,41.46777974485533,-39.066253551195445,proposed
118.0,41.091051712684774,-39.3136260710059,proposed
118.5,40.67471475547002,-39.64859879723602,proposed
119.0,40.3276990816953,-39.988126819923465,proposed
119.5,39.96857425993156,-40.239228286828386,proposed
120.0,39.6035596261813,-40.551008198140295,proposed
120.5,39.254504078777735,-40.84275774414139,proposed
121.0,38.87446255984742,-41.14337818387834,proposed
121.5,38.48320479699848,-41.418667305103526,proposed
122.0,38.11703800310678,-41.679884232568554,proposed
122.5,37.73770437226757,-41.977325068781944,proposed
123.0,37.353165367130075,-42.270558292253384,proposed
123.5,36.961909077495655,-42.514675556588834,proposed
124.0,36.590770328236516,-42.76549383257827,proposed
124.5,36.18966781720118,-43.011819034929665,proposed
125.0,35.77186093700726,-43.30657665774509,proposed
125.5,35.37191734603409,-43.57207341606579,proposed
126.0,35.00340940315385,-43.78750468686788,proposed
126.5,34.57651568815782,-44.0192622037846,proposed
127.0,34.118066225054285,-44.25418698473626,proposed
127.5,33.70870578002723,-44.514283760626874,proposed
128.0,33.293527295854624,-44.76802338530788,proposed
128.5,32.891424054951656,-44.991706029497315,proposed
129.0,32.50141148283199,-45.24916058760383,proposed
129.5,32.05585360006022,-45.478057574120996,proposed
130.0,31.638675295395945,-45.68491051825945,proposed
130.5,31.21781965615801,-45.90749114200915,proposed
131.0,30.74231383406844,-46.127526537294955,proposed
131.5,30.33937627324349,-46.339349669633734,proposed
132.0,29.906634555183533,-46.530721512559,proposed
132.5,29.472047018866093,-46.7484700566502,proposed
133.0,29.0498261806944,-46.93321910249033,proposed
133.5,28.65937151558471,-47.11898854544533,proposed
134.0,28.23702382241487,-47.29992675997906,proposed
134.5,27.834144315510503,-47.450452803773224,proposed
135.0,27.35728168265648,-47.580521610850816,proposed
135.5,26.925217022394182,-47.74763161443954,proposed
136.0,26.43768136252317,-47.87195111319457,proposed
136.5,26.023923537910978,-47.99279158831178,proposed
137.0,25.589316125921012,-48.121020749985924,proposed
137.5,25.157533172160484,-48.262442931504424,proposed
138.0,24.659556657859966,-48.37553685641928,proposed
138.5,24.210017598988248,-48.532081519138046,proposed
139.0,23.700897163556068,-48.649808639220254,proposed
139.5,23.236496763820014,-48.76943813991195,proposed
140.0,22.78750188567886,-48.895101446278204,proposed
140.5,22.339823579971945,-48.982931016241274,proposed
141.0,21.815595608690472,-49.08259018284916,proposed
141.5,21.354877698997324,-49.15844059453187,proposed
142.0,20.901083890403353,-49.28524236388662,proposed
142.5,20.436181611078908,-49.373000720377256,proposed
143.0,19.99253079859955,-49.47651725897427,proposed
143.5,19.523811397441236,-49.52792804631564,proposed
